单词	拼音	意思	例子
会见		丁寧？未来？	
见到		偶然？結果。約束があるかどうかに関わらず	
便宜		安い	
信用卡		クレジットカード	
收		受け入れる。クレジットカード使えますか　＞　受け入れますか	收信用卡
～家(量)		家・家庭・商店・企業などの数を数える．	这家饭馆
不行		だめ	
太贵了		高すぎる	
电视		テレビ	
电影		映画	
手机		携帯	
报纸		新聞	
明星		スター　(俳優や歌手)	男明星 | 他在中国是一个明星
体育		スポーツ	
节目		番組	
看见		見かけた？見た？彼の本を見かけた？	你看见他的书了吗
一下		少し	请看一下 | 请等一下
英文		(英语)と同じ	
坐在		座る	你们想坐在哪里
点菜		注文する	
买单		お会計する	
订位		予約する	
请帮我+V		V＋してもらえる？ | これらを買ってもらえる？	请帮我买这些东西
会~		未来？	我明天早饭会吃水果
S＋不太~		S+あまり～ではない | これらの果物はあまり新鮮ではない	这些水果不太新鲜
爱好		趣味	你的爱好是什么
~菜		~料理	我很喜欢吃上海菜
不要～		～しないで	
要~		～しなければならない	你工作太忙了，要注意身体健康
下车		降りる	
车站		駅	
不准~		～してはいけない　(掲示など)	
开 <> 关		开门 <> 关门	
帮忙		手伝う	请帮忙一下
需要		私は今あなたの手伝いを必要としてない	我现在不需要你的帮忙
一点儿(1)			我会读一点儿中文 | 他想喝一点儿水
一点儿(2)		ちょっと早めに着いてください	请早一点儿到
一点儿(3)		もう少し大きいのはありますか	请问 有大一点儿的吗 
有点儿			
~错		言い間違えた | この字を書き間違えている	不错 | 我说错了 | 这个字你写错了
办公室		事務所	
汽车		車	
出去		出かける	
S请O去~		(行くのを)誘う	
不好意思		ごめんなさい、すみません	
快点		はやく	请快点喝完咖啡
好看		綺麗	这张照片很好看
小狗		子犬？犬？	
走路		歩く	走路去那儿要半个小时
怎么办		どうしましょう	
上～ 		乗る	上车 | 上飞机
开车		車を運転する？　車で	
天气		天気	
可能		かもしれない | 週末は雨が降るかも	周末可能下雨
里面 <> 外面		中 <> 外	
很难洗		洗いにくい	白色的衣服很难洗
洗衣服		洗濯 | 洗濯したくない	不想洗衣服
刮大风		強い風が吹く	
从来		これまで | ここではこれまで雪が降ったことがない	这里没下过雪
一个半小时		1時間半	
节日		祝日	
白酒		白酒　(中国の焼酎みたいな)	
过		過ごす | 今年の旧正月、私は家族と一緒に過ごすことができない	今年春节我不能跟家人一起过
来？		皆さん一緒に乾杯しましょう	大家一起来干杯吧
打网球		テニス	
好在	頭が痛かったが、幸い薬を持っていた	幸い	我今天早上头疼，好在带了药
快要~了		もうすぐ～ | もうすぐテストだ	快要考试了
？呀有信心		自身をもって	
关系		私と彼の関係は今あまりよくない	我跟他的关系现在不太好
一样		同じ	
点心		点心　食べ物色々小さいやつ	
油条		中華の揚げパン	
包子		中華まん、肉まん	
是~的			
准时		時間通りに	请准时到
上面		桌子上面有碗	桌子上 桌子上面
咖啡馆		カフェ	
站在		立っている | あなたたちの間に立っている人は誰	站在你们中间的人是谁
经过		通り過ぎる、過ぎる、経過する	
有多？		どれくらい？　明日どれくらい寒い？ どのくらい暑い？	明天会有多冷 | 有多热?
马上		すぐ	
～以后		〜(の)後に	
～以前		〜(の)前に	
北方 南方		中国の地方	
难吃		まずい	
老了		私はもう年を取った	我已经老了
长大		彼はもう大きくなった	他已经长大了
个子		背 (が高い)	她个子很高
小学		小学校	
