漢字	音読み	訓読み	画数	部首	異体字	れい	例	
一	イチ、イツ	ひと、ひと(つ)	1	一,いち	壱、弌			
二	ニ	ふた、ふた(つ)	2	二,に	弐			
三	サン	み、み(つ)、みっ(つ)	3	一,いち				
四	シ	よ、よん、よっ(つ)、よ(つ)	5	囗,くにがまえ				
五	ゴ	いつ、いつ(つ)	4	二,に				
六	ロク	む、む(つ)、むい、むっ(つ)	4	八,はち				
七	シチ	なな、なな(つ)、なの	2	一,いち				
八	ハチ	や、や(つ)、やっ(つ)、よう	2	八,はち				
九	キュウ、ク	ここの、ここの(つ)	2	乙,おつ				
十	ジュウ、ジッ	と、とお	2	十,じゅう				
百	ヒャク		6	白,しろ		100		
千	セン	ち	3	十,じゅう		1000		
右	う、ユウ	みぎ	5	口,くち				
雨	ウ	あめ、あま	8	雨,あめ				
円	エン	まる(い)	4	冂,けいがまえ,まきがまえ,どうがまえ,えんがまえ	圓			
王	オウ		4	王,おう		おうさま	王様	
音	オン、イン	おと、ね	9	音,おと				
下	カ、ゲ	した、お(りる)、お(ろす)、くだ(さる)、くだ(す)、くだ(る)、さ(がる)、さ(げる)、しも、もと	3	一,いち				
火	カ	ひ、ほ	4	火,ひ				
花	カ	はな	7	艸艹,くさ,くさかんむり				
貝	ハイ、バイ	かい	7	貝,かい,こがい	贝(中)	かいがら	貝殻	
学	ガク	まな(ぶ)	8	子,こ	學、斈			
気	キ、ケ	いき	6	气,きがまえ	气(中)、氣	きぶん	気分	
休	キュウ	やす(み)、やす(まる)、やす(む)、やす(める)	6	亻,にんべん				
玉	ギョク	たま	5	玉,たま				
金	キン、コン	かね、かな	8	金,かね				
空	クウ	そら、あ(く)、あ(ける)、から、あな	8	穴,あなかんむり				
月	ゲツ、ガツ	つき	4	月,つき				
犬	ケン	いぬ	4	犬,いぬ				
見	ケン	み(る)、み(える)、み(せる)	0	見,みる	见(中)			
口	コウ、ク	くち	3	口,くち				
校	コウ		10	木,きへん		がっこう、こうこう	学校、高校	
左	サ	ひだり	5	工,え,たくみ				
山	サン	やま	3	山,やま				
子	シ、ス	こ	3	子,こ		こども	子供	
糸	シ	いと	6	糸,いと	絲			
字	ジ	あざ	6	子,こ		かんじ	漢字	
耳	ジ	みみ	6	耳,みみ				
車	シャ	くるま	7	車,くるま	车(中)			
手	シュ、ズ	て、た	4	手,て		て、きって、てがみ、じょうず、へた	手、切手、手紙、上手、下手	
出	シュツ、スイ	で(る)、だ(す)	5	凵,うけばこ,かんにょう,かんがまえ				
女	ジョ、ニョ	おんな、め	3	女,おんな				
小	ショウ	ちい(さい)、お、こ	3	小,しょう,ちいさい				
上	ジョウ、ショウ	うえ、うわ、あ(がる)、あ(げる)、かみ、のぼ(る)	3	一,いち				
森	シン	もり	12	木,き				
人	ジン、ニン	ひと	2	人,ひと				
水	スイ	みず	4	水,みず				
正	セイ、ショウ	ただ(しい)、ただ(す)、まさ	5	止,とめる				
生	セイ、ショウ、ソウ	い(きる)、い(かす)、い(ける)、う(まれる)、う(む)、なま、は(える)、は(やす)	5	生,いきる				
青	セイ、ショウ	あお、あお(い)	8	青,あお	靑			
夕	セキ	ゆう	3	夕,た,ゆう,ゆうべ		ゆうべ、ゆうしょく	夕べ、夕食	
石	セキ、シャク	いし	5	石,いし				
赤	セキ	あか、あか(い)、あか(らめる)、あか(らむ)	7	赤,あか				
川	セン	かわ	3	巛,まがりかわ				
先	セン	さき、ま(ず)	6	儿,こんにょう,ひとあし				
早	ソウ、サ、サッ	はや(い)、はや(まる)、はや(める)	6	日,ひ,にち				
草	ソウ	くさ	9	艸艹,くさかんむり				
足	ソク	あし、た(す)、た(りる)、た(る)	7	足,あし				
村	ソン	むら	7	木,きへん				
大	ダイ、タイ、タ、ダ	おお、おお(きい)、おお(いに)	3	大,だい				
男	ダン、ナン	おとこ	7	田,た				
竹	チク	たけ	6	竹,たけ				
中	チュウ、ジュウ	なか	4	丨,ぼう,たてぼう				
虫	チュウ	むし	6	虫,むし	蟲			
町	チョウ	まち	7	田,たへん				
天	テン、デン	あま、あめ	4	大,だい		てんばつ	天罰	
田	デン	た	5	田,た		たんぼ	田圃	
土	ド、ト	つち	3	土,つち				
日	ニチ、ジツ	か、ひ	4	日,ひ		～本　(ジャパン)		
入	ニュウ	はい(る)、い(る)、い(れる)	2	入,にゅう				
年	ネン	とし	6	干,いちじゅう,かん				
