Jap	Fr	Ref
#1		
私はマイク・ミラーです。	Je suis Mike Miller.	1
私は会社員です。	Je suis employé d'une entreprise.	1
サントスさんは学生ではありません。	M. Santos n'est pas étudiant.	2
ミラーさんはアメリカ人ですか。 <br/>はい、アメリカ人です。	Est-ce que M. Miller est Américain ?<br/>Oui il est Américain.	3
ミラーさんは先生ですか。<br/>いいえ、先生ではありません。	Est-ce que M. Miller est professeur ? <br/>Non, il n'est pas professeur.	3
あの方はどなたですか。<br>[あの方は]ミラーさんです。	Qui est cette personne ? <br/>[Cette personne] c'est M. Miller.	3
ミラーさんは会社員です。グプタさんも会社員です。	M. Miller est employé d'entreprise. M. Guputa aussi est employé d'entreprise.	4
ミラーさんはEDFの社員です。	M. Miller est employé d'EDF.	5
#2		
それは辞書ですか。	Est-ce un dictionnaire ?	6
これは誰の傘ですか。	À qui est ce parapluie ?	6
この本は私のです。	Ce livre est à moi.	7
あの方はどなたですか。	Qui est cette personne (là bas) ?	7
それは辞書ですか。<br/>はい、そうです。	Est-ce un dictionnaire ?<br/>Oui, c'est cela.	8
それはミラーさんのですか。<br/>いいえ、違います。	Est-ce que celui-là est à M. Miller ?<br/>Non, il ne l'est pas.	8
それはシャープペンシルですか。<br/>いいえ、ボールペンです。	Est-ce que cela est un porte-mine ?<br/>Non, c'est un stylo à bille.	8
これは「９」ですか、「７」ですか。<br/>「９」です。	Est-ce que c'est une "9" ou un "7" ?<br/>C'est un "9".	9
あれは猫ですか、犬ですか。<br/>犬です。	Est-ce que c'est un chat ou un chien ?<br/>C'est un chien.	9
これは車の雑誌です。	C'est un magazine de voiture.	10
これは山田さんの傘です。	C'est le parapluie de M. Yamada.	10
あれは誰のかばんですか。<br/>佐藤さんのです。	À qui est ce sac ?<br/>C'est à Mlle Sato.	11
このかばんはあなたのですか。<br/>いいえ、私のではありません。	Est-ce que ce sac est à vous ?<br/>Non, ce n'est pas à moi.	11
[お]土産。[お]酒。	Souvenir. Alcool.	12
この傘はあなたのですか。<br/>いいえ、違います。シュミットさんのです。<br/>そうですか。	Est-ce que ce parapluie est à vous ?<br/>Non. C'est à M. Schmidt.<br/>Ah d'accord.	13
#3		
お手洗いはあそこです。	Les toilettes sont là-bas.	15
電話は２階です。	Le téléphone est au <b>1er</b> étage.	15
山田さんは事務所です。	M. Yamada est au bureau.	15
お手洗いはどこですか。<br/>あそこです。	Où sont les toilettes ?<br/>C'est là-bas.	16
エレベーターはどちらですか。<br/>あちらです。	Où est l'ascenseur ?<br/>C'est pas là bas.	16
学校はどこですか。	Quel est le nom de votre école ? / Où est votre école ?	16
会社はどちらですか。	Dans quelle entreprise travaillez-vous ? / Où est votre entreprise ?	16
これはどこのコンピューターですか。<br/>日本のコンピューターです。	Où est-ce que cet ordinateur a été fabriqué ? / Quel est le fabriquant de cet ordinateur ?<br/>C'est un ordinateur japonais.	17
パワー電気のコンピューターです。	C'est un ordinateur de chez Power Electric.	17
[お]国はどちらですか。	D'où venez-vous ? (Litt. Quel est votre pays ?)	19
#4		
今何時ですか。<br/>７時１０分です。	Quelle heure est-il maintenant ?<br/>Il est sept heures dix.	20
私は毎日勉強します。	J'étudie tous les jours.	21
毎朝６時に起きます。	Je me lève tous les matins à six heures.	21
明日６時に起きます。	Demain, je vais me lever à six heures.	21
今朝６時に起きました。	Ce matin, je me suis levé à six heures.	21
昨日勉強しましたか。<br/>はい、勉強しました。<br/>いいえ、勉強しませんでした。	Avez-vous étudié hier ?<br/>Oui, j'ai étudié.<br/>Non, je n'ai pas étudié.	21
毎朝何時に起きますか。<br/>６時に起きます。	À quelle heures vous levez-vous tous les matins ?<br/>Je me lève à six heures.	21
６時半に起きます。	Je me lève à six heures et demie.	22
７月２日に日本へ来ました。(L.5)	Je suis venu au Japon le 2 juillet.	22
昨日勉強しました。	J'ai étudié hier.	22
日曜日[に]奈良へ行きます。	Dimanche, je vais Nara.	22
９時から５時まで勉強します。	J'étudie de neuf heures à cinq heures.	23
大阪から東京まで３時間かかります。(L.11)	Il faut trois heures d'Osaka à Tokyo.	23
９時から働きます。	Je travaille à partir de neuf heures.	23
銀行は９時から３時までです。	La banque est ouverte de neuf heures à trois heures.	23
昼休みは１２時からです。	La pause de midi est à partir de douze heures.	23
銀行の休みは土曜日と日曜日です。	La banque est fermée le samedi et le dimanche.	24
毎日１０時まで勉強します。<br/>大変ですね。	J'étudie tous les jours jusqu'à dix heures.<br/>Vous êtes bien courageux.	25
山田さんの電話番号は８７１の６８１３です。<br/>８７１の６８１３ですね。	Le numéro de téléphone de M. Yamada est le 871-6813.<br/>871-6813, c'est bien ça ?	25
